Serotype
Newport
Paratyphi A
"I 4,[5],12:i:-"
Enteritidis
Typhimurium
Montevideo
Schwarzengrund
Berta
Infantis
Heidelberg
Muenchen
Bareilly
Braenderup
Paratyphi B var. L(+) tartrate+
Agona
Give
Oranienburg
Saintpaul
Panama
Stanley
Tennessee
Paratyphi B
Javiana
Derby
Elomrane
Inverness
Kentucky
Goettingen
Brandenburg
Muenster
Sandiego
Rissen
Indiana
Hadar
Reading
Poona
"I 4,[5],12:b:- var. L(+) tartrate+"
II 58:c:z6
"Subspecies I, Group B"
Group C2
"I 6,7:nonmotile"
Ohio
Adelaide
Larochelle
Gaminara
Norwich
Dublin
Chailey
Litchfield
Mississippi
"IIIb 61:l,[v],[z13]:1,5,[7]"
Guinea
Monschaui
"I 9,12:nonmotile"
Worthington
Bovismorbificans
Thompson
Haifa
Hartford
Abaetetuba
Corvallis
Anatum
Lomalinda
IIIb 48:i:z
Durham
Weltevreden
Pomona
Napoli
Kokomlemle
Baildon
"I 4,[5],12:b:-"
Mbandaka
Typhimurium var. 5-
Kiambu
Agama
Rubislaw
"I 13,23:b:-"
Meleagridis
Agbeni
Cerro
Subspecies IIIb
Johannesburg
Pensacola
Cotham
"IV 50:z4,z23:-"
Berkeley
Arechavaleta
Subspecies II
Havana
Senftenberg
Telelkebir
Albany
Clackamas
Hvittingfoss
Orion
Virchow
Livingstone
Richmond
Sundsvall
I Rough:nonmotile
Amager
Miami
Choleraesuis var. Decatur
Chester
Group L
Uganda
Ebrie
"I 9,12:-:1,5"
Nigeria
Goldcoast
Kottbus
Manhattan
Eastbourne
II 48:a:z39
"I Rough:z:1,6"
"I 6,7:-:1,5"
Denver
"I 6,8:-:1,5"
"I 4,[5],12:-:1,2"
"I 6,8:e,h:-"
Rough/nonmotile
Cubana
Liverpool
"I 6,8:d:-"
"I Rough:y:1,5"
Kumasi
Barranquilla
"Subspecies I, Group O:11"
IIIb 50:k:z
Kintambo
Minnesota
Gatuni
Subspecies I
"I 6,7:r:-"
"I 9,12:l,z28:-"
Blockley
GROUP E
Urbana
Ealing
Molade
Cleveland
Group Y
Florida
Oslo
IIIb 61:z52:z53
Group B
Bonariensis
Idikan
"I 6,8:nonmotile"
"I 6,8:z10:-"
"IV 40:z4,z32:-"
Durban
Subspecies IIIa
Putten
Group C1
Luciana
Alachua
IIIb 50:r:z
Austin
"II 18:z4,z23:-"
Yoruba
"IV 50:g,z51:-"
"IIIa 48:g,z51:-"
Potsdam
Michigan
London
Argenteuil
Schleissheim
Anatum var. 15+
Widemarsh
"I 4,[5],12:d:-"
Saarbruecken
"IV 50:g,z51:- (Wassenaar)"
O Rough
Paratyphi B var. L(+) tartrate + (Java)
Serotype pending
Suelldorf
Undetermined
"I -:r,i:e,n,z15"
Fluntern
"I 6,7:e,h:-"
Stanleyville
Isolate to CDC
Glostrup
Choleraesuis var. Kunzendorf
"I 12,23:g,s,t:-"
Essen
Singapore
"I Rough r:1,5"
"IIIa 18:z4,z23:-"
Offa
"II 47:b:1,5"
Senegal
Waycross
Okatie
Takoradi
IIIb 38:(k):z35
Krefeld
Choleraesuis
IIIa 17:z29:-
Tamale
"II 13,23:l,w:e,n,x"
"IV 48:g,z51:-"
"O undertermined:r:1,5"
Abony
"I 4,[5],12:e,h:-"
Altona
Apeyeme
Fresno
Zanzibar
"I 6,7:k:-"
Amsterdam
"IIIb 35:r:e,n,x,z15"
IIIb 53:z10:z35
Ibadan
"IIIa 48:z4,z24:-"
Bousso
Galiema
"II 58:l,z13,z28:z6"
Group 60
"IIIa 21:g,z51:-"
"IIIa 41:z4,z23:-"
"IIIa 51:z4,z23:-"
"IIIa 53:z4,z23,z32:-"
IIIb 21:k:z
"IIIb 60:r:e,n,x,z15"
"IV 44:z4,z23:-"
Kedougou
Lagos
Madelia
Matopeni
Wagenia
Weslaco
Aberdeen
"IIIb 61:k:1,5,[7]"
"Subspecies I, Group E4"
"IIIb 16:z10:e,n,x,z15"
"IIIa 53:z4,z24:-"
"IIIa 40:g,z51:-"
Stoneferry
Travis
Roodepoort
Texas
Bredeney
"IIIa 56:z4,z23:-"
Ituri
II 41:d:z6
"IIIa 13,22:z4,z23:-"
Georgia
IIIa 21:z29:-
Hisingen
Irumu
Gatow
"I 6,8,20:z4,z24:-"
"IIIb 17:l,v:z35"
Benin
Give var. 15+
"II 47:a:1,5"
Oakland
Mikawasima
Vancouver
"I 47:z4,z23:-"
"II 9,12:a:e,n,x"
Strathcona
Paratyphi C
Apapa
Emek
"Subspecies I, Group C1"
Carrau
Tsevie
Uganda var. 15+
Matadi
"Subspecies I, Group E1"
"Subspecies IIIb, Group O:61"
"Subspecies I, Group O:13"
Isangi
Kingston
Subspecies IV
Tumodi
"IV 45:g,z51:-"
Lattenkamp
"IV 44:z4,z32:-"
Augustenborg
Lille
Grumpensis
"Subspecies IIIb, Group O:50"
Concord
Eko
"Subspecies IIIb, Group O:38"
Anfo
Kisarawe
IIIb 61:k:z35
"II 47:b:e,n,x,z15"
Tucson
IIIa 40:z36:-
Holcomb
"I Rough:b:e,n,x"
Canada
Coeln
Needs further review
i 4:i:-
"I 9:l,z28:-"
i 4:b:-
"I 9:a:1,5"
"I -:g,m,s:-"
Wandsworth
"IIIa 48:z4,z32:-"
Aqua
Onderstepoort
Nima
IIIb 61:r:z53
Soerenga
Neukoelln
Overschie
Lexington
"I -:e,h:e,n,z15"
"I Rough:e,h:1,2"
"I Rough O's:r:1,5"
"I -:r:1,5"
Anecho
Vitkin
Fann
Edinburg
"IIIb 48:l,v:1,5"
IIIb 47:k:z53
Lome
Kaapstad
Tilene
Ruiru
IIIb 47:k:z35
Dahra
Cannstatt
Tallahassee
Daytona
Zinder
"II 16:m,t:-"
I 35:z29:-
IIIb 61:c:z35
"I 3,10:e,h:-"
Bergen
Doulassame
IIIb 48:c:z
"IIIb 18:l,v:z"
"IIIb 53:k:e,n,x,z15"
Colindale
"i -:i:1,2"
Plymouth
Kenya
IV 43:z29:-
Agoueve
"IV 43:z4,z23:-"
"IIIb 17:z10:e,n,x,z15"
"IV 50:z4,z32:-"
"iiib 61:l,v:1,5"
Farmsen
IIIb
Sarajane
"IIIb 61:k:1,5"
Sharon
Woodinville
Carmel
"I -:m,t:-"
Bochum
"I -:z4,z23:-"
Powell
Alabama
Magwa
Ahuza
"I -:d:1,7"
Herston
"IV 43:z4,z24:-"
